ui,vi,wi
21.86,-15.86,-4.9
20.64,-12.81,-4.47
20.65,-15.28,-4.23
23.04,-14.54,-3.5
22.93,-17.78,-3.67
22.04,-19.5,-4.09
22.7,-19.76,-5.12
21.16,-19.06,-5.55
21.44,-18.64,-5.87
23.38,-18.86,-6.23
25.18,-17.77,-6.41
23.48,-17.3,-6.32
22.19,-18.15,-6.68
21.91,-16.01,-6.12
19.72,-19.27,-6.19
18.64,-20.36,-5.8
20.55,-19.24,-5.01
22.59,-19.2,-4.61
24.49,-17.61,-4.15
23,-16.86,-3.33
22.66,-14.42,-3.45
21.2,-17.17,-3.61
20.63,-21.11,-4.28
21.75,-18.8,-4.37
22.17,-20.2,-3.89
20.02,-22.08,-4.03
21.03,-21.41,-3.34
26.57,-14.78,-2.2
29.95,-13.3,-2.96
31.35,-14.14,-3.94
29.99,-13.67,-3.64
27.93,-11.88,-3.27
29.48,-13.87,-2.93
32.06,-10.54,-2.83
29.19,-10.3,-2.82
30.64,-7.84,-2.5
28.92,-9.65,-2.95
30.75,-10.82,-3.72
31.55,-10.62,-4.85
31.97,-7.54,-4.92
34.37,-8.5,-6.1
35.53,-6.75,-7.53
33.21,-1.32,-8.08
27.02,-4.95,-6.08
26.24,-13.24,-5.06
35.32,-8.72,-4.42
28.33,-3.76,-3.17
32.61,-16.96,-6.11
34.58,-7.33,-5.93
32.8,-7.15,-6.4
33.37,-3.19,-6.05
35.05,-5.43,-7.27
36.23,-0.65,-7.67
35.21,-4.94,-8.5
29.94,-7.26,-8.71
30.45,-12.84,-8.77
25.54,-11.99,-7.5
26.62,-14.52,-6.19
28.11,-10.9,-5.79
28.45,-8.45,-5.03
30.71,-8.73,-6.5
30.07,-4.45,-7.3
26.8,-4.67,-7.2
28.62,-8.85,-5.8
28.83,-10.97,-5.13
29.4,-11.82,-4.85
27.04,-9.51,-4.18
25.08,-6.45,-3.81
28.7,-5.41,-3.09
29.56,-4.67,-3.17
32.1,-4.13,-3.86
32.47,-6.48,-4.17
30.65,-7.41,-4.1
27.1,-5.59,-3.39
28.83,-6.81,-4.23
27.72,-10.39,-5.26
29.6,-7.19,-5.91
30.12,-6.21,-6.61
26.37,-6.47,-5.58
25.44,-8.27,-3.96
23.99,-9.8,-3.24
23.93,-9.74,-2
25.52,-13.68,-2.19
29.35,-14.76,-3.82
34.34,-9.09,-4.09
32.35,-11.94,-5.74
30.82,-9.54,-6.08
26.55,-8.16,-6.24
24.73,-12.34,-6.13
25.59,-14.59,-6.22
27.57,-10.58,-5.98
28.73,-10.2,-6.17
31.54,-9.71,-5.5
31.3,-9.04,-5.43
29.07,-7.59,-5.91
30.05,-8.57,-6.62
29.28,-7.31,-6.95
29.05,-6.35,-7.08
29.2,-5.17,-7.56
28.38,-8.79,-7.71
29.29,-9.93,-7.68
28.47,-8.22,-7.25
28.94,-9,-7.8
28.39,-5.61,-7.35
27.84,-6.73,-7.62
27.34,-7.12,-7.56
25,-10.36,-7.94
23.45,-10.38,-8.04
25.01,-11.62,-8.06
25.56,-11.71,-8.06
24.13,-12.37,-8.29
23.79,-8.5,-8.13
23.61,-11.07,-7.9
24.16,-13.37,-7.85
21.24,-12.7,-7.35
21.17,-16.57,-7.34
23.67,-12.78,-6.16
25.05,-10.13,-5.78
23.05,-8.82,-5.27
16.98,-17.1,-5.16
18.31,-20.49,-5.07
19.12,-17.95,-4.86
20.32,-18.87,-4.99
26.28,-16.79,-4.7
28.88,-13.23,-4.33
29.41,-12.9,-4.22
27.56,-13.25,-3.95
27.59,-17.07,-4.22
27.73,-13.01,-3.65
28.66,-12.1,-3.41
27.78,-14.2,-4.04
25.66,-11.83,-4.27
27.94,-11.74,-4.99
29.26,-8.26,-4.38
29.6,-8.87,-3.7
29.47,-10.07,-4
26.34,-9.57,-3.7
29.84,-7.72,-2.61
31.99,-10.79,-2.93
27.11,-15.53,-4.43
27.11,-14.55,-5.95
24.42,-11.82,-5.97
20.51,-13.24,-6.15
19.25,-16.34,-6.52
19.61,-20.02,-7.07
20.28,-19.86,-7.93
17.13,-21.74,-8.34
13.76,-25.51,-8.3
15.22,-21.63,-7.13
16.38,-25.96,-7.06
15.36,-24.8,-6.85
17.64,-15.47,-5.35
20.34,-12.29,-3.44
9.13,-33.43,-6.22
13.25,-25.68,-5.15
15,-22.75,-3.98
7.23,-29,-4.16
9.89,-28.12,-3.69
15.73,-23.91,-2.09
18.42,-25.24,-2.97
21.97,-21.18,-2.7
21.39,-18.34,-3.22
20.41,-19.09,-3.72
18.81,-16.31,-3.38
20.5,-21.12,-3.38
19.88,-19.69,-2.59
21.13,-19.58,-1.39
16.6,-22.89,-1.78
15,-26.52,-2.43
18.07,-22.12,-1.89
22.64,-18.76,-1.5
21.44,-12.33,-1.14
22.18,-15.64,-1
22.89,-13.68,-0.81
22.75,-11.5,-0.2
19.13,-17.05,-0.72
16.52,-20.85,-1.25
15.76,-22.59,-1.53
15.59,-18.52,-0.22
20.92,-17.67,1.02
22.34,-18.06,1.52
25.27,-14.84,1.31
20.83,-13.03,0.44
20.87,-18.13,0.51
20.47,-18.97,0.93
18.04,-17.76,-0.41
20.73,-21.49,-1.54
19.4,-20.24,-2.23
17.01,-18.74,-1.99
18.09,-19.15,-1.63
17.67,-18.97,-1.66
14.83,-17.88,-0.92
19.56,-19.45,0.43
23.4,-14.67,1.26
21.86,-14.66,0.87
22.9,-16.27,0.32
29.89,-10.97,0.77
29.87,-7.47,0.65
31.51,-5.61,-0.06
29.43,-7.03,-1.16
28.27,-4.25,-1.7
29.5,-4.75,-1.79
29.8,-3.71,-1.62
28.54,-5.64,-2.38
27.53,-4.48,-2.5
27.05,-5.87,-2.47
26.34,-6.07,-1.82
25.87,-12.79,-2.99
26.51,-17.05,-4.09
26.6,-12.52,-4.19
29.62,-10.45,-3.35
28.64,-10.61,-3.53
25.87,-12.44,-3.84
23.05,-14.78,-3.52
20.55,-20.61,-3.43
20.2,-19.93,-3.26
21.82,-23.41,-4.56
20.86,-25.75,-6.09
19.81,-22,-7.24
18.76,-22.48,-7.45
17.04,-25.33,-7.91
16.82,-19.1,-7.08
15.13,-22.06,-7.89
17.55,-25.58,-8.48
18.45,-23.71,-8.49
20.55,-23.38,-8.66
18.21,-23.3,-8.02
17.79,-26.67,-7.39
15.33,-31.68,-7.45
18.73,-30.74,-5.54
13.17,-33.67,-5.49
14.36,-30.69,-5.63
19.98,-25.22,-4.51
24.05,-18.62,-3.71
29.34,-19.34,-3.55
30.58,-14.09,-3.58
30.96,-14.11,-3.67
30.2,-15.26,-4.73
27.89,-14.15,-5.02
28.99,-15.94,-5.54
28.66,-16.49,-6.22
22.23,-16.22,-6.07
18.61,-22.78,-6.36
19.3,-26.41,-7.76
22.58,-24.48,-10.17
27.01,-22.3,-12.16
27.32,-14.24,-12.23
24.85,-11.76,-10.87
27.96,-11.15,-9.38
27.48,-11.74,-9.55
26.73,-10.16,-8.94
27.71,-11.93,-8.8
26.71,-12.76,-9.02
26.53,-15.55,-9.14
24.34,-17.3,-8.53
21.86,-15.7,-6.83
20.25,-24.54,-7.22
21.55,-26.64,-6.55
21.42,-29.44,-7.06
24.36,-27.6,-7.87
23.75,-25.19,-7.79
21.42,-21.39,-7.05
21.03,-25.75,-7.31
21.36,-20.59,-6.46
23.42,-21.08,-4.91
23.51,-20.35,-3.74
28.75,-16.75,-2.91
31.42,-12.67,-2.41
31.25,-10.19,-2.35
32.12,-10.28,-2.2
30.74,-11.32,-2.01
30.77,-12.91,-1.86
29.33,-11.2,-2.33
29,-11.02,-2.47
27.68,-12.32,-2.34
28.63,-14.44,-2.4
28.38,-14.77,-2.17
28.65,-19.08,-2.27
24.97,-15.93,-1.94
25.66,-18.9,-1.71
24.05,-18.98,-1.27
23.1,-19.69,-1.26
26.3,-18.45,-1.24
31.42,-15.5,-1.33
30.06,-15.93,-1.13
29.83,-15.72,-1.4
28.06,-15.18,-0.81
28.59,-18.76,-0.38
30.13,-16.79,0.98
30.07,-16.18,1.17
32.92,-12.83,1.01
34.4,-11.47,1.08
34.08,-11.19,0.87
31.94,-8.03,0.58
32.98,-9.23,1.2
32.03,-11.73,2.33
32.88,-14.57,2.71
31.44,-17.51,2.3
30.63,-16.92,2.62
32.9,-17.44,2.86
31.56,-15.47,2.32
26.93,-16.74,1.92
24.26,-17.88,1.87
23.42,-25.38,1.08
26.72,-22.28,0.68
28.26,-20.86,0.45
28.16,-20.69,0.37
29.06,-21.37,0.94
31.79,-15.67,1.72
35.53,-15.09,0.81
39.08,-9.68,0.01
38.74,-6.56,-1.01
37.1,-8.08,-2.24
35.67,-7.22,-3.18
36.11,-6.68,-3.74
34.67,-7.95,-4.37
34.48,-9.34,-5.22
33.16,-7.87,-6
32.81,-6.6,-6.6
31.47,-6.85,-6.25
31.18,-6.7,-5.52
30.6,-10.28,-6
31.28,-10.64,-6.36
32.74,-6.74,-6.01
31.27,-5.64,-5.99
28.46,-8.88,-5.73
29.21,-11.49,-5.65
29.16,-10.4,-5.19
29.02,-10.2,-4.97
29.46,-10.95,-5.19
29.54,-11.37,-5.18
29.47,-11.58,-5.08
29.72,-10.51,-5.04
29.45,-10.49,-5.09
30.44,-11.13,-5.16
29.78,-9.5,-5.17
30.32,-7.74,-4.73
30.75,-8.13,-5.11
31.24,-7.62,-5.27
31.65,-6.65,-5.18
31.57,-6.27,-5.33
31.97,-6.05,-5.63
29.1,-4.49,-5.01
29.34,-8.97,-5.48
28.4,-12.04,-5.92
26.92,-11.9,-6.47
25.73,-12.54,-6.81
24.58,-14.79,-6.3
23.88,-15.36,-6.11
25.22,-17.4,-5.89
27.07,-16.61,-5.92
28.55,-13.9,-6.13
25.66,-13.29,-5.41
25.43,-17.47,-4.98
24.88,-19.4,-5.04
23.76,-18.03,-4.84
27.38,-19.57,-4.77
