ui,vi,wi
18.04,-23.14,-8.97
17.95,-20.68,-9.15
19.12,-18.86,-9.3
18.1,-18.38,-9.49
16.01,-18.9,-9.62
14.22,-20.76,-9.28
17.28,-20.36,-8.73
16.99,-23.34,-9.34
17.23,-19.21,-10.09
15.94,-20.21,-10.3
18.39,-17.02,-9.64
18.32,-19.03,-9.92
18.95,-15.05,-10.02
20,-16.32,-11.1
21.49,-17.38,-11.45
19.23,-12.62,-10.38
20.2,-19.06,-10.11
21.77,-18.51,-10.32
22.62,-17.55,-9.9
26.45,-14.41,-8.78
24.83,-13.29,-7.75
18.14,-18.43,-7.72
13.82,-20.35,-7.87
11.51,-23.22,-7.31
12.3,-23.95,-7.74
11.46,-31.34,-9.49
14.42,-22.99,-10.19
15.1,-19.78,-10.23
12.5,-17.53,-10.57
11.46,-21.61,-10.33
8.79,-28.24,-10.57
8.58,-26.38,-10.66
7.83,-20.67,-10.16
9.45,-23.69,-10.7
10.43,-23.46,-11.54
10.12,-20.6,-11.3
5.65,-28.85,-11.2
1.69,-34.43,-10.74
9.41,-27.9,-8.64
6.3,-29.46,-8.45
7.31,-28.94,-9.42
10.55,-23.19,-11.16
15.22,-21.62,-11.97
17.29,-13,-11.9
17.01,-15.88,-12.84
15.78,-13.89,-13.06
17.74,-13.74,-13.43
17.29,-14.91,-12.81
17.31,-15.51,-12.65
17.03,-14,-12.96
16.29,-12.77,-12.77
16.74,-14.4,-12.75
16.56,-15.38,-12.85
14.26,-15.79,-12.79
13.54,-19.99,-12.62
14.18,-18.79,-11.97
13.67,-21.01,-11.93
14.25,-22.7,-11.34
12.53,-23.58,-11.11
13.33,-23.54,-10.25
14.86,-23.02,-9.46
16.85,-22.71,-9.59
21.82,-23.28,-10.63
27.62,-11.99,-10.74
27.82,-7.03,-10.42
27.07,-8.27,-10.74
26.21,-7.7,-10.84
26.61,-8.62,-11.27
26.26,-7.94,-11.47
22.96,-7.45,-11.35
22.3,-12.75,-11.32
20.96,-14.48,-12.02
19.8,-13.97,-12.11
16.83,-15.15,-11.77
18.15,-16.9,-11.93
20.25,-19.39,-12.91
20.97,-14.45,-13.33
20.41,-13.39,-13.55
18.05,-12.63,-13.54
19.3,-14.79,-13.77
18.07,-19.26,-14.49
16.63,-20.53,-15.46
16.68,-27.8,-16.46
22.98,-22.49,-18.64
25.25,-11.85,-19.58
24.75,-9.81,-19.41
24.61,-9.98,-18
21.38,-8.33,-16.57
20.78,-9.04,-15.53
20.57,-12.99,-15.19
20.28,-12.39,-15.44
19.92,-8.33,-14.63
19.32,-13.1,-14.39
17.31,-16.84,-14.5
15.97,-21.77,-15.25
17.62,-18,-15.36
19.74,-12.21,-16.31
20.15,-6.59,-16.57
16.86,-9.55,-15.62
11.57,-18.5,-15.47
10.65,-18.39,-15.03
8.15,-18.06,-14.62
10.56,-24.27,-16.24
9.35,-22.48,-16.61
20.51,-19.79,-16.06
25.3,-14.07,-15.53
21.37,-8.29,-14.52
20.55,-14.44,-14.16
22.79,-16.23,-13.88
24.77,-13.35,-14.24
25.78,-13.74,-14.55
28.49,-13.64,-14.6
29.52,-13.54,-13.97
26.26,-5.83,-13.97
23.97,-8.33,-14.81
29.84,-3.28,-14.61
29.31,-1.23,-13.2
27.16,-2.68,-12.06
26.5,-11.87,-12.2
22.33,-13.94,-11.71
23.52,-12.36,-11.66
23.31,-12.52,-11.11
21.61,-13.69,-10.75
22.58,-15.65,-10.53
23.52,-16.17,-10.55
21.69,-16.39,-10.02
20.53,-23.32,-10.85
20.78,-27.88,-12.03
25.4,-16.39,-12.95
23.5,-10.23,-11.86
26.66,-18.88,-12.23
34.4,-15.94,-13.73
32.55,-7.59,-13.67
31.25,-10.79,-12.41
27.46,-14.3,-12.66
18.48,-19.16,-12.73
25.05,-19.79,-13.34
34.69,-11.81,-15
30.12,-9.85,-14.74
26.57,-7.19,-13.13
27.91,-9.07,-11.89
26.73,-10.98,-11.1
27.65,-10.62,-11
27.59,-8.86,-10.27
24.8,-14.4,-9.26
21.48,-14.98,-8.67
17.21,-15.7,-7.57
19.44,-21.31,-7.25
13.56,-28.27,-8.35
10,-32.43,-9.68
12.11,-24.04,-9.3
12.53,-24.35,-8.91
16.76,-23.61,-8.64
21.16,-19.65,-8.89
23.73,-16.38,-9.19
21.62,-8.89,-8.64
19.5,-10.59,-7.3
24.36,-16.98,-7.05
28.64,-14.89,-7.65
26.79,-12.16,-7.6
30.38,-14.99,-8.47
28.11,-10.81,-8.85
27.58,-6.34,-8.88
27.79,-3.85,-7.64
24.86,1.86,-5.88
24.94,-3.44,-4.91
23.81,-9.73,-5.09
25.64,-12.11,-4.97
21.56,-6.02,-4.21
18.74,-6.75,-2.87
19.46,-10.61,-1.79
22.95,-19.29,-2.32
20.91,-17.25,-2.46
20.8,-19.74,-2.05
20.99,-25.46,-2.6
24.59,-23.86,-3.59
26.17,-13.64,-3.94
26.19,-15.13,-2.9
21.02,-19.22,-2.97
15.54,-26.51,-4.9
20.33,-25.4,-5.87
14.65,-18.71,-4.3
16.28,-29.27,-5.21
18.51,-24.7,-7.02
19.67,-19.31,-7.62
20.54,-14.28,-6.73
20.74,-16.68,-5.76
21.1,-19.95,-6.21
23.58,-18.17,-6.17
22.29,-20.56,-6.55
23.2,-16.97,-5.75
25.28,-21.38,-6.93
27.22,-19.23,-7.64
27.34,-14.09,-7.96
28.66,-11.99,-8.17
26.97,-13.8,-9.3
27.64,-11.3,-9.69
23.65,-9.17,-8.6
26.14,-11.39,-8.82
25.17,-11.9,-9.3
23.55,-9.27,-9.75
25.07,-9.01,-10.7
23.98,-6.91,-10.58
25.57,-7.86,-11.1
26.03,-9.23,-11.2
25.67,-8.6,-11.92
27.24,-7.91,-12.29
27.94,-7.09,-13.05
27.72,-3.03,-12.08
24.78,-4.62,-10.45
18.5,-6.54,-8.92
14.91,-14.61,-8.71
16.24,-24.47,-10.54
20.91,-21.57,-11.79
19.68,-13.98,-10.95
18.86,-17.97,-11.17
18.84,-21.67,-11.99
19.16,-22.05,-12.61
19.17,-16.23,-12.05
21.72,-14.87,-13.27
22.74,-11.89,-13.76
22.72,-12.86,-12.98
24.71,-11.34,-13.03
23.35,-14.7,-13.38
20.32,-16.83,-15.06
20.03,-18.45,-15.46
16.15,-16,-13.88
16.47,-22.76,-13.57
19.53,-17.58,-12.61
21.11,-22.07,-12.51
27.21,-19.86,-14.08
22.4,-14.93,-12.51
44.64,16.96,-9.06
33.41,6.9,-4.91
33.63,-27.21,-7.63
30.48,-13.58,-14.24
32.53,-8.67,-16.02
34.82,-5.8,-16.94
32.28,-12.46,-17.35
35.9,-11.44,-16.23
32.62,-5.53,-14.51
29.79,-10.22,-14.36
28.13,-9.59,-15.09
29.88,-8.81,-15.88
23.3,-3.47,-15.87
25.27,-12.67,-16.46
22.6,-11.57,-15.77
32.78,-24.2,-17.61
32.22,-0.01,-7.78
24.47,-10.46,-7.97
27.25,-14.06,-8.98
23.81,-17.82,-11.54
25.2,-21.65,-14.74
24.51,-10.3,-14.26
23.68,-14.71,-12.97
20.74,-18,-12.5
19.34,-22.82,-12.39
23.86,-24.69,-13.89
29.88,-11.45,-13.34
29.68,-7.94,-12.57
26.77,-8.5,-12.44
24.86,-8.68,-12.14
24.5,-9.57,-12.22
23.62,-11.75,-12.75
21.11,-12.96,-13.59
